Conflict Name,US Intervention,Articles Written
Soviet Quagmire of 1980-1989,1,270
Second Chad (Habre Revolt) War of 1980-1984,0,10
Iran-Iraq War of 1980-1988,1,1752
Second Uganda War of 1980-1986,0,30
Nigeria-Muslim War of 1980-1981,0,22
Hama War of 1981-1982,0,439
Tigrean and Eritrean War of 1982-1991,0,4
Shining Path War of 1982-1992,0,18
Contra War of 1982-1990,1,44
Falklands War of 1982,1,1585
War over Lebanon of 1982,0,1502
Matabeleland War of 1983-1987,0,51
Fourth Burmese War of 1983-1988,0,48
Fourth Lebanese Civil War of 1983-1984,0,910
First Sri Lanka Tamil War of 1983-2002,0,13
Second South Sudan War of 1983-2005,0,74
Indian Golden Temple War of 1984,0,176
First Turkish Kurds War of 1984-1986,0,1
Fifth Iraqi Kurds War of 1985-1988,0,4
South Yemen War of 1986,0,73
Holy Spirit Movement War of 1986-1987,0,1
War over the Aouzou Strip of 1986-1987,0,0
Sino-Vietnamese Border War of 1987,0,44
Second Sri Lanka-JVP War of 1987-1989,0,95
Inkatha-ANC War of 1987-1994,0,146
Fifth Burmese War of 1988,0,57
First Somalia War of 1988-1991,0,20
Fifth Lebanese War of 1989-1990,1,395
Second Afghan Mujahideen Uprising of 1989-2001,0,338
Third Chad (Deby Coup) War of 1989-1990,0,42
First Aceh War of 1989-1991,0,40
Bougainville Secession War of 1989-1992,0,1
Eighth Colombian War of 1989-present,1,240
First Cambodian Civil War of 1989-1991,0,170
Romania War of 1989,0,313
The First Liberia War of 1989-1990,0,5
Kashmir Insurgents War of 1990-2005,0,236
Shiite and Kurdish War of 1991,0,876
First Sierra Leone War of 1991-1996,0,14
Croatian Independence War of 1991-1992,0,147
Second Turkish Kurds War of 1991-1999,0,758
First PKK in Iraq of 1991-1992,1,236
SPLA Division (Dinka-Nuer) War of 1991-1992,0,40
Jukun-Tiv War of 1991-1992,0,53
Second Somalia War of 1991-1997,0,76
Georgia War of 1991-1992,0,292
Nagorno-Karabakh War of 1991-1993,0,113
Dniestrian Independence War of 1991-1992,0,112
Algerian Islamic Front War of 1992-1999,0,131
War of Bosnian Independence of 1992,1,662
Tajikistan War of 1992-1997,0,19
Bosnian-Serb Rebellion of 1992-1995,1,368
Second Liberia War of 1992-1995,0,132
Angolan War of Cities of 1992-1994,0,25
Second Cambodia Civil War of 1993-1997,0,138
Azeri-Armenian War of 1993-1994,0,56
Abkhazia Revolt of 1993-1994,0,197
Second Burundi War of 1993-1998,0,245
South Yemeni Secessionist War of 1994,0,11
Second Rwanda War of 1994,0,513
First Chechnya War of 1994-1996,0,536
Iraqi Kurd Internecine War of 1994-1995,1,275
Cenepa Valley War of 1995,0,112
Croatia-Krajina War of 1995,0,159
Third Liberia War of 1996,0,123
Sixth Iraqi Kurds War of 1996,1,296
Fifth DRC War of 1996-1997,0,182
Third Rwanda War of 1997-1998,0,157
Second PKK in Iraq of 1997,1,586
First Congo Brazzaville War of 1997,0,111
Second Sierra Leone War of 1998-2000,0,68
Kosovo Independence War of 1998-1999,1,173
Badme Border War of 1998-2000,0,76
Guinea-Bissau Military War of 1998-1999,0,46
Africa's World War of 1998-2002,1,380
Fourth Chad (Togoimi Revolt) War of 1998-2000,0,26
Third Angolan War of 1998-2002,0,165
Second Congo (Brazzaville) War of 1998-1999,0,111
Moluccas Sectarian War of 1999-2000,0,3
War for Kosovo of 1999,1,173
First Nigeria Christian-Muslim War of 1999-2000,0,80
Second Aceh War of 1999-2002,0,90
Kargil War of 1999,0,2
Oromo Liberation War of 1999,0,63
Hema-Lendu War of 1999-2005,0,162
Second Chechnya War of 1999-2003,0,99
Second Philippine-Moro War of 2000-2001,0,90
Guinean War of 2000-2001,0,44
Al Aqsa Intifada of 2000-2003,0,594
Third Burundi War of 2001-2003,0,37
Fourth Rwanda War of 2001,0,167
Fourth Liberia War of 2002-2003,0,43
Ethiopian Anyuaa-Nuer War of 2002-2003,0,31
Cote d'Ivoire Military War of 2002-2004,0,170
Third Philippine-Moro War of 2003,0,177
Darfur War of 2003-2006,0,104
Third Aceh War of 2003-2004,0,133
Second Nepal Maoists War of 2003-2006,0,25
Waziristan War of 2004-2006,0,401
Second Nigeria Christian-Muslim War of 2004,0,63
First Yemeni Cleric War of 2004-2005,0,94
Philippine Joint Offensive of 2005-2006,1,66
Fifth Chad War of 2005-2006,0,50
Third Somalia War of 2006-2008,0,77
Second Sri Lanka Tamil War of 2006-present,0,24
Second Yemeni Cleric War of 2007,0,20
