Conflict,Intervention,Articles,Trade1,Trade2,NetTrade,SecurityCouncil
Soviet Quagmire of 1980-1989,1,270,487.7,1515,7.602251549,1
Second Chad (Habre Revolt) War of 1980-1984,0,10,0,1.9,0.641853886,0
Iran-Iraq War of 1980-1988,1,1752,477.9,1229.7,7.442844155,0
Second Uganda War of 1980-1986,0,30,131.3,5.846,4.921046052,0
Nigeria-Muslim War of 1980-1981,0,22,11518.2,1149.5,9.446810726,0
Hama War of 1981-1982,0,439,87.5,193.34,5.637785112,0
Tigrean and Eritrean War of 1982-1991,0,4,109.9,30.705,4.945954541,0
Shining Path War of 1982-1992,0,18,1150.1,1230.62,7.775158242,0
Contra War of 1982-1990,1,44,98.2,147.556,5.504339174,0
Falklands War of 1982,1,1585,1222.3,16395.75,9.776679224,1
War over Lebanon of 1982,0,1502,19.7,323.18,5.837380532,0
Matabeleland War of 1983-1987,0,51,79.6,109.061,5.239951754,1
Fourth Burmese War of 1983-1988,0,48,11.7,16.10309,3.325147166,0
Fourth Lebanese Civil War of 1983-1984,0,910,17.7,532.73,6.310699791,0
First Sri Lanka Tamil War of 1983-2002,0,13,206,115.901,5.774244045,0
Second South Sudan War of 1983-2005,0,74,20.4,123.075,4.966160804,0
Indian Golden Temple War of 1984,0,176,2736.9,1481.741,8.347268317,0
First Turkish Kurds War of 1984-1986,0,1,463.9,1060.86,7.3295923,0
Fifth Iraqi Kurds War of 1985-1988,0,4,491.1,469.59,6.867651776,0
South Yemen War of 1986,0,73,0,0,0,0
Holy Spirit Movement War of 1986-1987,0,1,139.4,4.62,4.969952179,0
War over the Aouzou Strip of 1986-1987,0,0,0.1,52.94,3.971046346,0
Sino-Vietnamese Border War of 1987,0,44,0,0.269,0,0
Second Sri Lanka-JVP War of 1987-1989,0,95,463.8,117.951,6.366042521,0
Inkatha-ANC War of 1987-1994,0,146,1399.1,1281.1,7.893646698,0
Fifth Burmese War of 1988,0,57,12.5,14.67185,3.302181511,0
First Somalia War of 1988-1991,0,20,1.3,33,3.535145354,0
Fifth Lebanese War of 1989-1990,1,395,31.44,102.9072,4.900427494,0
Second Afghan Mujahideen Uprising of 1989-2001,0,338,4.919,6.865616,2.466794952,0
Third Chad (Deby Coup) War of 1989-1990,0,42,0.149,38.687,3.659347652,0
First Aceh War of 1989-1991,0,40,3874.105,2216.378,8.714482668,0
Bougainville Secession War of 1989-1992,0,1,0,0,0,0
Eighth Colombian War of 1989-present,1,240,2760.475,1805.604,8.426410129,1
